"customer_id","customer_name","city","state","country","postal_code","segment","market","region"
"SF-20200","Sarah Foster","São Benedito","Ceará","Brazil","NA","Consumer","LATAM","LATAM-South"
"MG-18205","Mitch Gastineau","Medellín","Antioquia","Colombia","NA","Corporate","LATAM","LATAM-South"
"KC-16255","Karen Carlisle","Toluca","México","Mexico","NA","Corporate","LATAM","LATAM-North"
"DW-13480","Dianna Wilson","Tegucigalpa","Francisco Morazán","Honduras","NA","Home Office","LATAM","LATAM-Central"
"DS-13030","Darrin Sayre","Santo Domingo","Santo Domingo","Dominican Republic","NA","Home Office","LATAM","Caribbean"
"JM-15580","Jill Matthias","Tulancingo","Hidalgo","Mexico","NA","Consumer","LATAM","LATAM-North"
"PW-19240","Pierre Wener","Panama City","Panama","Panama","NA","Consumer","LATAM","LATAM-Central"
"CC-12220","Chris Cortes","La Paz","Baja California Sur","Mexico","NA","Consumer","LATAM","LATAM-North"
"LC-16885","Lena Creighton","Tegucigalpa","Francisco Morazán","Honduras","NA","Consumer","LATAM","LATAM-Central"
"BT-11530","Bradley Talbott","Madero","Tamaulipas","Mexico","NA","Home Office","LATAM","LATAM-North"
"RK-19300","Ralph Kennedy","La Ceiba","Atlántida","Honduras","NA","Consumer","LATAM","LATAM-Central"
"PB-19210","Phillip Breyer","Guantánamo","Guantánamo","Cuba","NA","Corporate","LATAM","Caribbean"
"BM-11140","Becky Martin","Bello","Antioquia","Colombia","NA","Consumer","LATAM","LATAM-South"
"TZ-21445","Tom Zandusky","Abreu e Lima","Pernambuco","Brazil","NA","Corporate","LATAM","LATAM-South"
"GZ-14470","Gary Zandusky","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"FM-14215","Filia McAdams","Monterrey","Nuevo León","Mexico","NA","Corporate","LATAM","LATAM-North"
"LR-16915","Lena Radford","Lima","Lima (city)","Peru","NA","Consumer","LATAM","LATAM-South"
"KT-16465","Kean Takahito","San Miguelito","Panama","Panama","NA","Consumer","LATAM","LATAM-Central"
"MW-18220","Mitch Webber","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"CS-12355","Christine Sundaresam","Tuxtla Gutiérrez","Chiapas","Mexico","NA","Consumer","LATAM","LATAM-North"
"PS-18760","Pamela Stobb","Piedras Negras","Coahuila","Mexico","NA","Consumer","LATAM","LATAM-North"
"SC-20845","Sung Chung","Tijuana","Baja California","Mexico","NA","Consumer","LATAM","LATAM-North"
"AJ-10780","Anthony Jacobs","Chihuahua","Chihuahua","Mexico","NA","Corporate","LATAM","LATAM-North"
"AH-10075","Adam Hart","Estelí","Estelí","Nicaragua","NA","Corporate","LATAM","LATAM-Central"
"NW-18400","Natalie Webber","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"JL-15850","John Lucas","Mixco","Guatemala","Guatemala","NA","Consumer","LATAM","LATAM-Central"
"CG-12040","Catherine Glotzbach","Camagüey","Camagüey","Cuba","NA","Home Office","LATAM","Caribbean"
"TB-21400","Tom Boeckenhauer","Ocotlán","Jalisco","Mexico","NA","Consumer","LATAM","LATAM-North"
"PB-19150","Philip Brown","Cholula","Puebla","Mexico","NA","Consumer","LATAM","LATAM-North"
"MD-17350","Maribeth Dona","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"HD-14785","Harold Dahlen","Santo Domingo","Santo Domingo","Dominican Republic","NA","Home Office","LATAM","Caribbean"
"TT-21265","Tim Taslimi","Buenos Aires","Buenos Aires","Argentina","NA","Corporate","LATAM","LATAM-South"
"RS-19420","Ricardo Sperren","Jiutepec","Morelos","Mexico","NA","Corporate","LATAM","LATAM-North"
"SC-20680","Steve Carroll","Tijuana","Baja California","Mexico","NA","Home Office","LATAM","LATAM-North"
"EM-14200","Evan Minnotte","Huehuetenango","Huehuetenango","Guatemala","NA","Home Office","LATAM","LATAM-Central"
"SW-20275","Scott Williamson","Resistencia","Chaco","Argentina","NA","Consumer","LATAM","LATAM-South"
"TS-21085","Thais Sissman","Santa Cruz de Barahona","Barahona","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"SS-20410","Shahid Shariari","Curitiba","Parana","Brazil","NA","Consumer","LATAM","LATAM-South"
"AG-10330","Alex Grayson","Soledad","Atlántico","Colombia","NA","Consumer","LATAM","LATAM-South"
"NP-18685","Nora Pelletier","Tegucigalpa","Francisco Morazán","Honduras","NA","Home Office","LATAM","LATAM-Central"
"PO-19195","Phillina Ober","Charallave","Miranda","Venezuela","NA","Home Office","LATAM","LATAM-South"
"JL-15130","Jack Lebron","João Pessoa","Paraíba","Brazil","NA","Consumer","LATAM","LATAM-South"
"BT-11305","Beth Thompson","Manzanillo","Granma","Cuba","NA","Home Office","LATAM","Caribbean"
"DR-12880","Dan Reichenbach","Mexico City","Distrito Federal","Mexico","NA","Corporate","LATAM","LATAM-North"
"LP-17080","Liz Pelletier","Irapuato","Guanajuato","Mexico","NA","Consumer","LATAM","LATAM-North"
"TT-21460","Tonja Turnell","Santo Domingo","Santo Domingo","Dominican Republic","NA","Home Office","LATAM","Caribbean"
"FW-14395","Fred Wasserman","Mendoza","Mendoza","Argentina","NA","Corporate","LATAM","LATAM-South"
"SC-20020","Sam Craven","León","Guanajuato","Mexico","NA","Consumer","LATAM","LATAM-North"
"MO-17500","Mary O'Rourke","Caxias do Sul","Rio Grande do Sul","Brazil","NA","Consumer","LATAM","LATAM-South"
"KD-16615","Ken Dana","Tlaquepaque","Jalisco","Mexico","NA","Corporate","LATAM","LATAM-North"
"EM-13810","Eleni McCrary","Santo Domingo","Santo Domingo","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"BH-11710","Brosina Hoffman","Choloma","Cortés","Honduras","NA","Consumer","LATAM","LATAM-Central"
"BE-11335","Bill Eplett","Holguín","Holguín","Cuba","NA","Home Office","LATAM","Caribbean"
"LW-16990","Lindsay Williams","Santiago de los Caballeros","Santiago","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"LS-17230","Lycoris Saunders","Managua","Managua","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"ST-20530","Shui Tom","Hermosillo","Sonora","Mexico","NA","Consumer","LATAM","LATAM-North"
"GP-14740","Guy Phonely","Cienfuegos","Cienfuegos","Cuba","NA","Corporate","LATAM","Caribbean"
"TC-21535","Tracy Collins","Pinar del Río","Pinar del Río","Cuba","NA","Home Office","LATAM","Caribbean"
"TZ-21580","Tracy Zic","Guacara","Carabobo","Venezuela","NA","Consumer","LATAM","LATAM-South"
"AR-10345","Alex Russell","Mexicali","Baja California","Mexico","NA","Corporate","LATAM","LATAM-North"
"SL-20155","Sara Luxemburg","Ilopango","San Salvador","El Salvador","NA","Home Office","LATAM","LATAM-Central"
"DJ-13630","Doug Jacobs","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"YS-21880","Yana Sorensen","Salta","Salta","Argentina","NA","Corporate","LATAM","LATAM-South"
"BW-11200","Ben Wallace","Tijuana","Baja California","Mexico","NA","Consumer","LATAM","LATAM-North"
"EB-14170","Evan Bailliet","Managua","Managua","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"JS-15685","Jim Sink","Delgado","San Salvador","El Salvador","NA","Corporate","LATAM","LATAM-Central"
"TB-21175","Thomas Boland","Santiago de Cuba","Santiago de Cuba","Cuba","NA","Corporate","LATAM","Caribbean"
"VW-21775","Victoria Wilson","Carrefour","Ouest","Haiti","NA","Corporate","LATAM","Caribbean"
"HF-14995","Herbert Flentye","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"CR-12730","Craig Reiter","Soacha","Cundinamarca","Colombia","NA","Consumer","LATAM","LATAM-South"
"CM-12445","Chuck Magee","Zapopan","Jalisco","Mexico","NA","Consumer","LATAM","LATAM-North"
"BT-11485","Brad Thomas","Ibagué","Tolima","Colombia","NA","Home Office","LATAM","LATAM-South"
"ML-18040","Michelle Lonsdale","San Miguelito","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"RW-19630","Rob Williams","Hermosillo","Sonora","Mexico","NA","Corporate","LATAM","LATAM-North"
"TB-21355","Todd Boyes","Panama City","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"RS-19870","Roy Skaria","La Romana","La Romana","Dominican Republic","NA","Home Office","LATAM","Caribbean"
"CS-12490","Cindy Schnelling","Guadalajara","Jalisco","Mexico","NA","Corporate","LATAM","LATAM-North"
"FP-14320","Frank Preis","Obregón","Sonora","Mexico","NA","Consumer","LATAM","LATAM-North"
"CS-11950","Carlos Soltero","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"DO-13435","Denny Ordway","Osasco","São Paulo","Brazil","NA","Consumer","LATAM","LATAM-South"
"RR-19525","Rick Reed","Santo Domingo","Santo Domingo","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"MH-17620","Matt Hagelstein","Toluca","México","Mexico","NA","Corporate","LATAM","LATAM-North"
"AG-10300","Aleksandra Gannaway","Juárez","Chihuahua","Mexico","NA","Corporate","LATAM","LATAM-North"
"CL-12700","Craig Leslie","Masaya","Masaya","Nicaragua","NA","Home Office","LATAM","LATAM-Central"
"MG-18145","Mike Gockenbach","Santa Ana","Santa Ana","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"KD-16495","Keith Dawkins","Chinandega","Chinandega","Nicaragua","NA","Corporate","LATAM","LATAM-Central"
"LS-17245","Lynn Smith","Tlalnepantla","México","Mexico","NA","Consumer","LATAM","LATAM-North"
"AS-10090","Adam Shillingsburg","Obregón","Sonora","Mexico","NA","Consumer","LATAM","LATAM-North"
"AH-10195","Alan Haines","Palma Soriano","Santiago de Cuba","Cuba","NA","Corporate","LATAM","Caribbean"
"GB-14530","George Bell","Mejicanos","San Salvador","El Salvador","NA","Corporate","LATAM","LATAM-Central"
"AC-10420","Alyssa Crouse","Santa Clara","Villa Clara","Cuba","NA","Corporate","LATAM","Caribbean"
"PT-19090","Pete Takahito","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"LB-16735","Larry Blacks","Tepic","Nayarit","Mexico","NA","Consumer","LATAM","LATAM-North"
"SZ-20035","Sam Zeldin","Mexico City","Distrito Federal","Mexico","NA","Home Office","LATAM","LATAM-North"
"AB-10105","Adrian Barton","Soledad Díez Gutiérrez","San Luis Potosí","Mexico","NA","Consumer","LATAM","LATAM-North"
"KF-16285","Karen Ferguson","Santiago","Santiago","Chile","NA","Home Office","LATAM","LATAM-South"
"AH-10585","Angele Hood","Maracaibo","Zulia","Venezuela","NA","Consumer","LATAM","LATAM-South"
"PO-18850","Patrick O'Brill","Monclova","Coahuila","Mexico","NA","Consumer","LATAM","LATAM-North"
"EH-13990","Erica Hackney","Villa Nueva","Guatemala","Guatemala","NA","Consumer","LATAM","LATAM-Central"
"EJ-13720","Ed Jacobs","Coacalco","México","Mexico","NA","Consumer","LATAM","LATAM-North"
"DJ-13510","Don Jones","Maringá","Parana","Brazil","NA","Corporate","LATAM","LATAM-South"
"KM-16720","Kunst Miller","San Fernando del Valle de Catamarca","Catamarca","Argentina","NA","Consumer","LATAM","LATAM-South"
"BB-11545","Brenda Bowman","Juárez","Chihuahua","Mexico","NA","Corporate","LATAM","LATAM-North"
"MN-17935","Michael Nguyen","Tegucigalpa","Francisco Morazán","Honduras","NA","Consumer","LATAM","LATAM-Central"
"VG-21790","Vivek Gonzalez","Gonaïves","Artibonite","Haiti","NA","Consumer","LATAM","Caribbean"
"AG-10765","Anthony Garverick","Ilopango","San Salvador","El Salvador","NA","Home Office","LATAM","LATAM-Central"
"LS-16975","Lindsay Shagiari","São Paulo","São Paulo","Brazil","NA","Home Office","LATAM","LATAM-South"
"CL-11890","Carl Ludwig","Paço do Lumiar","Maranhão","Brazil","NA","Consumer","LATAM","LATAM-South"
"KB-16405","Katrina Bavinger","Blumenau","Santa Catarina","Brazil","NA","Home Office","LATAM","LATAM-South"
"DH-13675","Duane Huffman","Ilopango","San Salvador","El Salvador","NA","Home Office","LATAM","LATAM-Central"
"AP-10915","Arthur Prichep","Santa Clara","Villa Clara","Cuba","NA","Consumer","LATAM","Caribbean"
"SB-20290","Sean Braxton","Salvador","Bahia","Brazil","NA","Corporate","LATAM","LATAM-South"
"DW-13540","Don Weiss","Cholula","Puebla","Mexico","NA","Consumer","LATAM","LATAM-North"
"RP-19390","Resi Pölking","Barquisimeto","Lara","Venezuela","NA","Consumer","LATAM","LATAM-South"
"PK-19075","Pete Kriz","Cuscatancingo","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"MP-17965","Michael Paige","San Justo","Santa Fe","Argentina","NA","Corporate","LATAM","LATAM-South"
"DN-13690","Duane Noonan","Ananindeua","Pará","Brazil","NA","Consumer","LATAM","LATAM-South"
"DL-13330","Denise Leinenbach","Santiago","Santiago","Chile","NA","Consumer","LATAM","LATAM-South"
"RB-19795","Ross Baird","Santiago de Cuba","Santiago de Cuba","Cuba","NA","Home Office","LATAM","Caribbean"
"BS-11380","Bill Stewart","La Plata","Provincia de Buenos Aires","Argentina","NA","Corporate","LATAM","LATAM-South"
"JR-15700","Jocasta Rupert","Tegucigalpa","Francisco Morazán","Honduras","NA","Consumer","LATAM","LATAM-Central"
"TB-21280","Toby Braunhardt","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"JG-15310","Jason Gross","San Salvador","San Salvador","El Salvador","NA","Corporate","LATAM","LATAM-Central"
"CA-12310","Christine Abelman","Guadalajara","Jalisco","Mexico","NA","Corporate","LATAM","LATAM-North"
"PJ-19015","Pauline Johnson","San Miguelito","Panama","Panama","NA","Consumer","LATAM","LATAM-Central"
"CR-12820","Cyra Reiten","Matagalpa","Matagalpa","Nicaragua","NA","Home Office","LATAM","LATAM-Central"
"Dp-13240","Dean percer","Mérida","Mérida","Venezuela","NA","Home Office","LATAM","LATAM-South"
"SV-20935","Susan Vittorini","Tegucigalpa","Francisco Morazán","Honduras","NA","Consumer","LATAM","LATAM-Central"
"NF-18595","Nicole Fjeld","Soyapango","San Salvador","El Salvador","NA","Home Office","LATAM","LATAM-Central"
"MC-18130","Mike Caudle","Orizaba","Veracruz","Mexico","NA","Corporate","LATAM","LATAM-North"
"SG-20080","Sandra Glassco","Carrefour","Ouest","Haiti","NA","Consumer","LATAM","Caribbean"
"PG-18895","Paul Gonzalez","Amatitlán","Guatemala","Guatemala","NA","Consumer","LATAM","LATAM-Central"
"NK-18490","Neil Knudson","San Miguelito","Panama","Panama","NA","Home Office","LATAM","LATAM-Central"
"FA-14230","Frank Atkinson","Paulista","Pernambuco","Brazil","NA","Corporate","LATAM","LATAM-South"
"SA-20830","Sue Ann Reed","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"CS-12460","Chuck Sachs","Petapa","Guatemala","Guatemala","NA","Consumer","LATAM","LATAM-Central"
"SH-20635","Stefanie Holloman","San Pedro Sula","Cortés","Honduras","NA","Corporate","LATAM","LATAM-Central"
"MC-17590","Matt Collister","Paraná","Entre Ríos","Argentina","NA","Corporate","LATAM","LATAM-South"
"MF-18250","Monica Federle","São Paulo","São Paulo","Brazil","NA","Corporate","LATAM","LATAM-South"
"DE-13255","Deanra Eno","Mexico City","Distrito Federal","Mexico","NA","Home Office","LATAM","LATAM-North"
"TC-20980","Tamara Chand","Ituiutaba","Minas Gerais","Brazil","NA","Corporate","LATAM","LATAM-South"
"DV-13045","Darrin Van Huff","Choloma","Cortés","Honduras","NA","Corporate","LATAM","LATAM-Central"
"RA-19285","Ralph Arnett","Guarapuava","Parana","Brazil","NA","Consumer","LATAM","LATAM-South"
"AA-10375","Allen Armold","Lima","Lima (city)","Peru","NA","Consumer","LATAM","LATAM-South"
"SC-20305","Sean Christensen","Chinandega","Chinandega","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"TG-21640","Trudy Glocke","Brasília","Federal District","Brazil","NA","Consumer","LATAM","LATAM-South"
"ND-18460","Neil Ducich","Maturín","Monagas","Venezuela","NA","Corporate","LATAM","LATAM-South"
"IM-15070","Irene Maddox","La Ceiba","Atlántida","Honduras","NA","Consumer","LATAM","LATAM-Central"
"TP-21565","Tracy Poddar","Saltillo","Coahuila","Mexico","NA","Corporate","LATAM","LATAM-North"
"HK-14890","Heather Kirkland","Santo Domingo","Santo Domingo","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"CK-12595","Clytie Kelty","Tlalnepantla","México","Mexico","NA","Consumer","LATAM","LATAM-North"
"PH-18790","Patricia Hirasaki","Ijuí","Rio Grande do Sul","Brazil","NA","Home Office","LATAM","LATAM-South"
"JH-15985","Joseph Holt","Tijuana","Baja California","Mexico","NA","Consumer","LATAM","LATAM-North"
"CR-12625","Corey Roper","Panama City","Panama","Panama","NA","Home Office","LATAM","LATAM-Central"
"HJ-14875","Heather Jas","Hermosillo","Sonora","Mexico","NA","Home Office","LATAM","LATAM-North"
"KH-16690","Kristen Hastings","Escuintla","Escuintla","Guatemala","NA","Corporate","LATAM","LATAM-Central"
"CV-12295","Christina VanderZanden","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"JC-16105","Julie Creighton","Yopal","Casanare","Colombia","NA","Corporate","LATAM","LATAM-South"
"JD-16015","Joy Daniels","Córdoba","Veracruz","Mexico","NA","Consumer","LATAM","LATAM-North"
"RS-19765","Roland Schwarz","Santo Domingo","Santo Domingo","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"MZ-17335","Maria Zettner","Valles","San Luis Potosí","Mexico","NA","Home Office","LATAM","LATAM-North"
"DK-12895","Dana Kaydos","Santiago","Santiago","Chile","NA","Consumer","LATAM","LATAM-South"
"NR-18550","Nick Radford","San Pedro de Macorís","San Pedro de Macorís","Dominican Republic","NA","Consumer","LATAM","Caribbean"
"HA-14920","Helen Andreada","Cochabamba","Cochabamba","Bolivia","NA","Consumer","LATAM","LATAM-South"
"RC-19960","Ryan Crowe","Cuscatancingo","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"DB-12910","Daniel Byrd","Córdoba","Córdoba","Argentina","NA","Home Office","LATAM","LATAM-South"
"TP-21130","Theone Pippenger","Apopa","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"DL-12925","Daniel Lacy","Buenos Aires","Buenos Aires","Argentina","NA","Consumer","LATAM","LATAM-South"
"KN-16390","Katherine Nockton","Escuintla","Escuintla","Guatemala","NA","Corporate","LATAM","LATAM-Central"
"LS-17200","Luke Schmidt","Fort-de-France","Martinique","Martinique","NA","Corporate","LATAM","Caribbean"
"AB-10255","Alejandro Ballentine","Goiânia","Goiás","Brazil","NA","Home Office","LATAM","LATAM-South"
"RD-19660","Robert Dilbeck","Cuajimalpa","Distrito Federal","Mexico","NA","Home Office","LATAM","LATAM-North"
"BP-11185","Ben Peterman","Madero","Tamaulipas","Mexico","NA","Corporate","LATAM","LATAM-North"
"MC-17575","Matt Collins","El Progreso","Yoro","Honduras","NA","Consumer","LATAM","LATAM-Central"
"DM-12955","Dario Medina","San Miguelito","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"FM-14290","Frank Merwin","Tegucigalpa","Francisco Morazán","Honduras","NA","Home Office","LATAM","LATAM-Central"
"MC-17275","Marc Crier","San Salvador","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"DR-12940","Daniel Raglin","Apopa","San Salvador","El Salvador","NA","Home Office","LATAM","LATAM-Central"
"CK-12325","Christine Kargatis","Buenos Aires","Buenos Aires","Argentina","NA","Home Office","LATAM","LATAM-South"
"MM-18055","Michelle Moray","Irapuato","Guanajuato","Mexico","NA","Consumer","LATAM","LATAM-North"
"TR-21325","Toby Ritter","Paranaguá","Parana","Brazil","NA","Consumer","LATAM","LATAM-South"
"BC-11125","Becky Castell","Manizales","Caldas","Colombia","NA","Home Office","LATAM","LATAM-South"
"JO-15550","Jesus Ocampo","Itapetininga","São Paulo","Brazil","NA","Home Office","LATAM","LATAM-South"
"BG-11740","Bruce Geld","Toluca","México","Mexico","NA","Consumer","LATAM","LATAM-North"
"GZ-14545","George Zrebassa","Mexico City","Distrito Federal","Mexico","NA","Corporate","LATAM","LATAM-North"
"PM-18940","Paul MacIntyre","Pinar del Río","Pinar del Río","Cuba","NA","Consumer","LATAM","Caribbean"
"BV-11245","Benjamin Venier","Santa Marta","Magdalena","Colombia","NA","Corporate","LATAM","LATAM-South"
"JS-15940","Joni Sundaresam","Tegucigalpa","Francisco Morazán","Honduras","NA","Home Office","LATAM","LATAM-Central"
"MB-18085","Mick Brown","Querétaro","Querétaro","Mexico","NA","Consumer","LATAM","LATAM-North"
"DS-13180","David Smith","Cubatão","São Paulo","Brazil","NA","Corporate","LATAM","LATAM-South"
"MF-17665","Maureen Fritzler","Quetzaltenango","Quezaltenango","Guatemala","NA","Corporate","LATAM","LATAM-Central"
"TM-21490","Tony Molinari","Ilopango","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"KC-16675","Kimberly Carter","Porto Alegre","Rio Grande do Sul","Brazil","NA","Corporate","LATAM","LATAM-South"
"MO-17800","Meg O'Connel","Chinautla","Guatemala","Guatemala","NA","Home Office","LATAM","LATAM-Central"
"FC-14245","Frank Carlisle","Piedecuesta","Santander","Colombia","NA","Home Office","LATAM","LATAM-South"
"MP-17470","Mark Packer","Tuxtla Gutiérrez","Chiapas","Mexico","NA","Home Office","LATAM","LATAM-North"
"EH-13765","Edward Hooks","Tegucigalpa","Francisco Morazán","Honduras","NA","Corporate","LATAM","LATAM-Central"
"CD-11920","Carlos Daly","Copiapó","Atacama","Chile","NA","Consumer","LATAM","LATAM-South"
"IL-15100","Ivan Liston","Madero","Tamaulipas","Mexico","NA","Consumer","LATAM","LATAM-North"
"DC-13285","Debra Catini","Cienfuegos","Cienfuegos","Cuba","NA","Consumer","LATAM","Caribbean"
"JH-15430","Jennifer Halladay","Choloma","Cortés","Honduras","NA","Consumer","LATAM","LATAM-Central"
"ML-17395","Marina Lichtenstein","Santa Clara","Villa Clara","Cuba","NA","Corporate","LATAM","Caribbean"
"SM-20320","Sean Miller","San Juan de la Maguana","San Juan","Dominican Republic","NA","Home Office","LATAM","Caribbean"
"EB-13705","Ed Braxton","Apartadó","Antioquia","Colombia","NA","Corporate","LATAM","LATAM-South"
"BF-11275","Beth Fritzler","Panama City","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"BS-11665","Brian Stugart","Tegucigalpa","Francisco Morazán","Honduras","NA","Consumer","LATAM","LATAM-Central"
"BF-11215","Benjamin Farhat","Managua","Managua","Nicaragua","NA","Home Office","LATAM","LATAM-Central"
"DC-12850","Dan Campbell","Goiânia","Goiás","Brazil","NA","Consumer","LATAM","LATAM-South"
"PG-18820","Patrick Gardner","Apopa","San Salvador","El Salvador","NA","Consumer","LATAM","LATAM-Central"
"CA-12775","Cynthia Arntzen","Santiago de Cuba","Santiago de Cuba","Cuba","NA","Consumer","LATAM","Caribbean"
"EH-14185","Evan Henry","Bayamo","Granma","Cuba","NA","Consumer","LATAM","Caribbean"
"MC-17605","Matt Connell","Villa Canales","Guatemala","Guatemala","NA","Corporate","LATAM","LATAM-Central"
"ES-14080","Erin Smith","São Paulo","São Paulo","Brazil","NA","Corporate","LATAM","LATAM-South"
"CC-12475","Cindy Chapman","San Pedro Sula","Cortés","Honduras","NA","Consumer","LATAM","LATAM-Central"
"TS-21610","Troy Staebel","Montevideo","Montevideo","Uruguay","NA","Consumer","LATAM","LATAM-South"
"DB-13360","Dennis Bolton","El Progreso","Yoro","Honduras","NA","Home Office","LATAM","LATAM-Central"
"LD-17005","Lisa DeCherney","Panama City","Panama","Panama","NA","Consumer","LATAM","LATAM-Central"
"GD-14590","Giulietta Dortch","Mexico City","Distrito Federal","Mexico","NA","Corporate","LATAM","LATAM-North"
"CS-12250","Chris Selesnick","Villa Nueva","Guatemala","Guatemala","NA","Corporate","LATAM","LATAM-Central"
"RA-19915","Russell Applegate","Mexicali","Baja California","Mexico","NA","Consumer","LATAM","LATAM-North"
"SC-20770","Stewart Carmichael","Managua","Managua","Nicaragua","NA","Corporate","LATAM","LATAM-Central"
"BP-11095","Bart Pistole","Belo Horizonte","Minas Gerais","Brazil","NA","Corporate","LATAM","LATAM-South"
"TP-21415","Tom Prescott","Guantánamo","Guantánamo","Cuba","NA","Consumer","LATAM","Caribbean"
"EK-13795","Eileen Kiefer","Tlalnepantla","México","Mexico","NA","Home Office","LATAM","LATAM-North"
"JL-15505","Jeremy Lonsdale","Huehuetenango","Huehuetenango","Guatemala","NA","Consumer","LATAM","LATAM-Central"
"DV-13465","Dianna Vittorini","Managua","Managua","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"AB-10015","Aaron Bergman","León","León","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"JD-16150","Justin Deggeller","Soyapango","San Salvador","El Salvador","NA","Corporate","LATAM","LATAM-Central"
"BF-11080","Bart Folk","Mexicali","Baja California","Mexico","NA","Consumer","LATAM","LATAM-North"
"DB-13660","Duane Benoit","San Miguelito","Panama","Panama","NA","Consumer","LATAM","LATAM-Central"
"JB-15400","Jennifer Braxton","Lima","Lima (city)","Peru","NA","Corporate","LATAM","LATAM-South"
"VG-21805","Vivek Grady","Managua","Managua","Nicaragua","NA","Corporate","LATAM","LATAM-Central"
"LC-17140","Logan Currie","El Progreso","Yoro","Honduras","NA","Consumer","LATAM","LATAM-Central"
